timestamp,elapsed_s,cpu_percent,ram_percent,ram_used_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb
2026-07-31T20:00:13,579.5,19.2,48.4,15.41,39.0,1556.0,8192.0
2026-07-31T20:00:15,581.5,18.3,48.4,15.41,39.0,1551.0,8192.0
2026-07-31T20:00:17,583.6,17.6,48.4,15.41,40.0,1551.0,8192.0
2026-07-31T20:00:19,585.7,25.3,48.4,15.42,27.0,1558.0,8192.0
2026-07-31T20:00:21,587.7,20.4,48.4,15.41,38.0,1565.0,8192.0
2026-07-31T20:00:23,589.8,18.0,48.4,15.42,40.0,1565.0,8192.0
2026-07-31T20:00:25,591.8,24.5,48.4,15.41,40.0,1560.0,8192.0
2026-07-31T20:00:27,593.9,24.8,48.4,15.41,37.0,1559.0,8192.0
2026-07-31T20:00:29,595.9,24.1,48.4,15.41,27.0,1553.0,8192.0
2026-07-31T20:00:31,598.0,17.9,48.4,15.41,40.0,1551.0,8192.0
2026-07-31T20:00:33,600.0,21.2,48.4,15.41,41.0,1557.0,8192.0
2026-07-31T20:00:35,602.1,20.0,48.4,15.41,67.0,1551.0,8192.0
2026-07-31T20:00:37,604.1,25.8,48.4,15.41,32.0,1551.0,8192.0
2026-07-31T20:00:39,606.2,17.7,48.4,15.41,41.0,1556.0,8192.0
2026-07-31T20:00:41,608.3,22.9,48.4,15.41,36.0,1557.0,8192.0
2026-07-31T20:00:43,610.3,17.3,48.4,15.41,39.0,1552.0,8192.0
2026-07-31T20:00:45,612.4,25.0,48.4,15.41,37.0,1552.0,8192.0
2026-07-31T20:00:47,614.4,21.2,48.4,15.4,37.0,1557.0,8192.0
2026-07-31T20:00:50,616.5,18.8,48.4,15.41,39.0,1551.0,8192.0
2026-07-31T20:00:52,618.5,17.0,48.4,15.41,41.0,1551.0,8192.0
2026-07-31T20:00:54,620.6,25.6,48.4,15.41,38.0,1556.0,8192.0
2026-07-31T20:00:56,622.6,18.3,48.4,15.41,35.0,1551.0,8192.0
2026-07-31T20:00:58,624.7,18.8,48.4,15.41,35.0,1551.0,8192.0
2026-07-31T20:01:00,626.8,26.2,48.5,15.43,36.0,1556.0,8192.0
